-0.900000000E-01 0.500E+01 0.184E+01 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.499E+01 0.499E+01 0.499E+01 0.499E+01
-0.900000000E-01 0.725E+01 0.267E+01 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.723E+01 0.723E+01 0.723E+01 0.723E+01
-0.900000000E-01 0.105E+02 0.387E+01 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.105E+02 0.105E+02 0.105E+02 0.105E+02
-0.900000000E-01 0.153E+02 0.562E+01 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.152E+02 0.152E+02 0.152E+02 0.152E+02
-0.900000000E-01 0.222E+02 0.815E+01 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.221E+02 0.221E+02 0.221E+02 0.221E+02
-0.900000000E-01 0.322E+02 0.118E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.321E+02 0.321E+02 0.321E+02 0.321E+02
-0.900000000E-01 0.467E+02 0.172E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.465E+02 0.465E+02 0.465E+02 0.465E+02
-0.900000000E-01 0.677E+02 0.249E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.675E+02 0.675E+02 0.675E+02 0.675E+02
-0.900000000E-01 0.982E+02 0.361E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.979E+02 0.979E+02 0.979E+02 0.979E+02
-0.900000000E-01 0.143E+03 0.524E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.142E+03 0.142E+03 0.142E+03 0.142E+03
-0.900000000E-01 0.207E+03 0.761E+02 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.206E+03 0.206E+03 0.206E+03 0.206E+03
-0.900000000E-01 0.300E+03 0.110E+03 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.299E+03 0.299E+03 0.299E+03 0.299E+03
-0.874966626E-01 0.500E+01 0.184E+01 0.168E+56-0.823E+49-0.182E+49-0.199E+49 0.499E+01 0.499E+01 0.499E+01 0.499E+01
-0.874966626E-01 0.725E+01 0.267E+01 0.301E+55 0.480E+49 0.604E+48 0.703E+48 0.723E+01 0.723E+01 0.723E+01 0.723E+01
-0.874966626E-01 0.105E+02 0.387E+01 0.194E+54 0.542E+48 0.721E+47 0.849E+47 0.105E+02 0.105E+02 0.105E+02 0.105E+02
-0.874966626E-01 0.153E+02 0.562E+01 0.147E+52 0.561E+46 0.799E+45 0.924E+45 0.152E+02 0.152E+02 0.152E+02 0.152E+02
-0.874966626E-01 0.222E+02 0.815E+01 0.315E+49 0.186E+44 0.290E+43 0.326E+43 0.221E+02 0.221E+02 0.221E+02 0.221E+02
-0.874966626E-01 0.322E+02 0.118E+02 0.433E+46 0.473E+41 0.799E+40 0.873E+40 0.321E+02 0.321E+02 0.321E+02 0.321E+02
-0.874966626E-01 0.467E+02 0.172E+02 0.468E+43 0.927E+38 0.165E+38 0.178E+38 0.465E+02 0.465E+02 0.465E+02 0.465E+02
-0.874966626E-01 0.677E+02 0.249E+02 0.417E+40 0.138E+36 0.407E+34 0.276E+35 0.675E+02 0.675E+02 0.675E+02 0.675E+02
-0.874966626E-01 0.982E+02 0.361E+02 0.282E+37-0.127E+33-0.902E+34 0.305E+32 0.979E+02 0.979E+02 0.979E+02 0.979E+02
-0.874966626E-01 0.143E+03 0.524E+02-0.136E+35-0.372E+33-0.692E+34 0.186E+29 0.142E+03 0.142E+03 0.142E+03 0.142E+03
-0.874966626E-01 0.207E+03 0.761E+02-0.518E+34-0.424E+33-0.667E+34-0.592E+25 0.206E+03 0.206E+03 0.206E+03 0.206E+03
-0.874966626E-01 0.300E+03 0.110E+03-0.730E+34-0.937E+33 0.210E+35-0.275E+23 0.299E+03 0.299E+03 0.299E+03 0.299E+03
-0.735884844E-01 0.500E+01 0.184E+01 0.260E+56 0.501E+50 0.107E+50 0.104E+50 0.499E+01 0.499E+01 0.499E+01 0.499E+01
-0.735884844E-01 0.725E+01 0.267E+01 0.563E+55 0.180E+50 0.301E+49 0.321E+49 0.723E+01 0.723E+01 0.723E+01 0.723E+01
-0.735884844E-01 0.105E+02 0.387E+01 0.564E+54 0.129E+49 0.200E+48 0.222E+48 0.105E+02 0.105E+02 0.105E+02 0.105E+02
-0.735884844E-01 0.153E+02 0.562E+01 0.759E+52 0.185E+47 0.304E+46 0.334E+46 0.152E+02 0.152E+02 0.152E+02 0.152E+02
-0.735884844E-01 0.222E+02 0.815E+01 0.420E+50 0.158E+45 0.280E+44 0.307E+44 0.221E+02 0.221E+02 0.221E+02 0.221E+02
-0.735884844E-01 0.322E+02 0.118E+02 0.224E+48 0.131E+43 0.253E+42 0.283E+42 0.321E+02 0.321E+02 0.321E+02 0.321E+02
-0.735884844E-01 0.467E+02 0.172E+02 0.122E+46 0.111E+41 0.243E+40 0.280E+40 0.465E+02 0.465E+02 0.465E+02 0.465E+02
-0.735884844E-01 0.677E+02 0.249E+02 0.648E+43 0.929E+38 0.233E+38 0.279E+38 0.675E+02 0.675E+02 0.675E+02 0.675E+02
-0.735884844E-01 0.982E+02 0.361E+02 0.310E+41 0.656E+36 0.179E+36 0.236E+36 0.979E+02 0.979E+02 0.979E+02 0.979E+02
-0.735884844E-01 0.143E+03 0.524E+02 0.129E+39 0.558E+34-0.131E+35 0.165E+34 0.142E+03 0.142E+03 0.142E+03 0.142E+03
-0.735884844E-01 0.207E+03 0.761E+02 0.415E+36 0.304E+33-0.150E+35 0.968E+31 0.206E+03 0.206E+03 0.206E+03 0.206E+03
