 1  7.88182517
 2  4.18491633
 3  36.9479674
 4  0.0139965097
 5  0.686133344
 6  0.362738215
 7  0.0049386338
 8  15.8033835
 9  0.00907149
 10  3.01126755
 11  1.59885591
 12  164.95048
 13  0.0718564209
 14  2.37455306
 15  25.882714
 16  0.0315319884
 17  0.761301699
 18  0.402477481
 19  17.8415791
 20  0.0153029906
 21  0.543972028
 22  0.288826176
 23  14.368071
 24  0.0269817487
 25  0.134348164
 26  0.203588571
 27  0.1076312
 28  0.0534239513
 29  0.0282436481
 30  0.469760924
 31  0.249423214
 32  12.4712206
 33  0.0225749353
 34  0.129682919
 35  0.207269203
 36  0.10957704
 37  0.053243465
 38  0.0281482304
 39  0.543972028
 40  0.288826176
 41  14.368071
 42  0.0269817487
 43  0.134348164
 44  0.203588571
 45  0.1076312
 46  0.0534239513
 47  0.0282436481
 48  0.469760924
 49  0.249423214
 50  12.4712206
 51  0.0225749353
 52  0.129682919
 53  0.207269203
 54  0.10957704
 55  0.053243465
 56  0.0281482304
