10   2.0d-43     2.0d-43
15   6.0d-42     5.0d-42
20   2.0d-41     1.8d-41
25   4.6d-41     4.0d-41
30   8.7d-41     7.3d-41
35   1.44d-40    1.18d-40
40   2.15d-40    1.73d-40
45   2.97d-40    2.34d-40
50   3.86d-40    2.99d-40
55   4.79d-40    3.65d-40
60   5.74d-40    4.31d-40
65   6.71d-40    4.97d-40
70   7.69d-40    5.62d-40
75   8.67d-40    6.25d-40
80   9.65d-40    6.86d-40
85   10.58d-40   7.44d-40
90   11.45d-40   7.97d-40 
95   12.23d-40   8.45d-40
100  12.9d-40    8.87d-40    
105  13.5d-40    9.23d-40
110  14.0d-40    9.53d-40
115  14.3d-40    9.77d-40
120  14.5d-40    9.95d-40
125  14.5d-40    10.1d-40
130  14.5d-40    10.1d-40
135  14.5d-40    10.1d-40
140  14.5d-40    10.1d-40
145  14.5d-40    10.1d-40
150  14.5d-40    10.1d-40
155  14.5d-40    10.1d-40
160  14.5d-40    10.1d-40
165  14.5d-40    10.1d-40
170  14.5d-40    10.1d-40
175  14.5d-40    10.1d-40
180  14.5d-40    10.1d-40
