#   Time        Lum_e      <E>_e    <Erms>_e    Lum_eb     <E>_eb    <Erms>_eb   Lum_x       <E>_x    <Erms>_x
#   (sec)     (foes/s)     (MeV)      (MeV)    (foes/s)     (MeV)      (MeV)    (foes/s)     (MeV)      (MeV)

  3.131E+00  3.069E+00  1.173E+01  1.277E+01  3.564E+00  1.506E+01  1.638E+01  1.342E+00  1.994E+01  2.249E+01
  3.141E+00  3.050E+00  1.173E+01  1.277E+01  3.544E+00  1.506E+01  1.639E+01  1.336E+00  1.993E+01  2.249E+01
  3.151E+00  3.033E+00  1.173E+01  1.277E+01  3.524E+00  1.506E+01  1.639E+01  1.331E+00  1.993E+01  2.248E+01
  3.161E+00  3.069E+00  1.172E+01  1.277E+01  3.567E+00  1.506E+01  1.639E+01  1.329E+00  1.993E+01  2.248E+01
  3.171E+00  3.063E+00  1.173E+01  1.277E+01  3.560E+00  1.507E+01  1.640E+01  1.324E+00  1.992E+01  2.247E+01
  3.181E+00  3.024E+00  1.172E+01  1.276E+01  3.517E+00  1.507E+01  1.640E+01  1.319E+00  1.992E+01  2.247E+01
  3.191E+00  3.009E+00  1.171E+01  1.275E+01  3.503E+00  1.507E+01  1.639E+01  1.312E+00  1.991E+01  2.246E+01
  3.201E+00  3.006E+00  1.171E+01  1.275E+01  3.501E+00  1.507E+01  1.640E+01  1.307E+00  1.991E+01  2.246E+01
  3.211E+00  2.990E+00  1.171E+01  1.275E+01  3.483E+00  1.508E+01  1.640E+01  1.303E+00  1.990E+01  2.245E+01
  3.221E+00  2.966E+00  1.171E+01  1.274E+01  3.456E+00  1.507E+01  1.640E+01  1.299E+00  1.990E+01  2.244E+01
  3.231E+00  2.914E+00  1.170E+01  1.274E+01  3.395E+00  1.507E+01  1.640E+01  1.291E+00  1.989E+01  2.244E+01
  3.241E+00  2.886E+00  1.170E+01  1.274E+01  3.362E+00  1.508E+01  1.640E+01  1.282E+00  1.989E+01  2.243E+01
  3.251E+00  2.902E+00  1.170E+01  1.274E+01  3.382E+00  1.508E+01  1.641E+01  1.276E+00  1.988E+01  2.243E+01
  3.261E+00  2.942E+00  1.171E+01  1.274E+01  3.428E+00  1.508E+01  1.641E+01  1.273E+00  1.988E+01  2.242E+01
  3.271E+00  2.921E+00  1.171E+01  1.275E+01  3.403E+00  1.508E+01  1.641E+01  1.266E+00  1.987E+01  2.242E+01
  3.281E+00  2.819E+00  1.171E+01  1.275E+01  3.284E+00  1.509E+01  1.642E+01  1.263E+00  1.986E+01  2.241E+01
  3.291E+00  2.809E+00  1.171E+01  1.275E+01  3.272E+00  1.509E+01  1.642E+01  1.259E+00  1.985E+01  2.240E+01
  3.301E+00  2.880E+00  1.171E+01  1.275E+01  3.354E+00  1.510E+01  1.642E+01  1.259E+00  1.984E+01  2.238E+01
  3.311E+00  2.866E+00  1.171E+01  1.274E+01  3.336E+00  1.510E+01  1.642E+01  1.255E+00  1.982E+01  2.237E+01
  3.321E+00  2.844E+00  1.170E+01  1.274E+01  3.312E+00  1.509E+01  1.642E+01  1.244E+00  1.981E+01  2.235E+01
  3.331E+00  2.813E+00  1.169E+01  1.273E+01  3.278E+00  1.509E+01  1.642E+01  1.247E+00  1.979E+01  2.233E+01
  3.341E+00  2.822E+00  1.169E+01  1.272E+01  3.287E+00  1.508E+01  1.641E+01  1.252E+00  1.977E+01  2.231E+01
  3.351E+00  2.827E+00  1.168E+01  1.271E+01  3.288E+00  1.508E+01  1.641E+01  1.253E+00  1.974E+01  2.228E+01
  3.361E+00  2.767E+00  1.168E+01  1.271E+01  3.212E+00  1.508E+01  1.641E+01  1.250E+00  1.971E+01  2.225E+01
  3.371E+00  2.825E+00  1.166E+01  1.270E+01  3.257E+00  1.507E+01  1.640E+01  1.251E+00  1.968E+01  2.222E+01
  3.381E+00  2.921E+00  1.166E+01  1.269E+01  3.328E+00  1.505E+01  1.638E+01  1.248E+00  1.964E+01  2.219E+01
  3.391E+00  2.901E+00  1.165E+01  1.269E+01  3.288E+00  1.504E+01  1.638E+01  1.245E+00  1.962E+01  2.216E+01
  3.401E+00  2.868E+00  1.165E+01  1.269E+01  3.268E+00  1.504E+01  1.638E+01  1.239E+00  1.959E+01  2.214E+01
  3.411E+00  2.848E+00  1.165E+01  1.269E+01  3.260E+00  1.504E+01  1.639E+01  1.238E+00  1.957E+01  2.211E+01
  3.421E+00  2.823E+00  1.165E+01  1.269E+01  3.242E+00  1.503E+01  1.638E+01  1.239E+00  1.954E+01  2.209E+01
  3.431E+00  2.754E+00  1.165E+01  1.269E+01  3.169E+00  1.503E+01  1.638E+01  1.229E+00  1.952E+01  2.207E+01
  3.441E+00  2.738E+00  1.165E+01  1.269E+01  3.156E+00  1.503E+01  1.637E+01  1.223E+00  1.950E+01  2.205E+01
  3.451E+00  2.770E+00  1.165E+01  1.269E+01  3.197E+00  1.503E+01  1.638E+01  1.210E+00  1.948E+01  2.203E+01
  3.461E+00  2.766E+00  1.165E+01  1.269E+01  3.196E+00  1.503E+01  1.638E+01  1.198E+00  1.946E+01  2.201E+01
  3.471E+00  2.727E+00  1.165E+01  1.269E+01  3.153E+00  1.503E+01  1.638E+01  1.185E+00  1.945E+01  2.200E+01
  3.481E+00  2.723E+00  1.165E+01  1.269E+01  3.150E+00  1.502E+01  1.637E+01  1.175E+00  1.943E+01  2.198E+01
  3.491E+00  2.676E+00  1.164E+01  1.268E+01  3.097E+00  1.501E+01  1.636E+01  1.167E+00  1.942E+01  2.197E+01
