 -0.6980E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 -0.6720E-01  0.1170E+52  0.4839E+46  0.9467E+45  0.9620E+45
 -0.6202E-01  0.1597E+52  0.1017E+47  0.1986E+46  0.2008E+46
 -0.4963E-01  0.2399E+52  0.1068E+47  0.1887E+46  0.1906E+46
 -0.3791E-01  0.3913E+52  0.1257E+47  0.1930E+46  0.1947E+46
 -0.2939E-01  0.5962E+52  0.1279E+47  0.1524E+46  0.1536E+46
 -0.2102E-01  0.9921E+52  0.1536E+47  0.1328E+46  0.1336E+46
 -0.1504E-01  0.1581E+53  0.1946E+47  0.1340E+46  0.1347E+46
 -0.1091E-01  0.2325E+53  0.2425E+47  0.1571E+46  0.1579E+46
 -0.8016E-02  0.3274E+53  0.2678E+47  0.1451E+46  0.1455E+46
 -0.5990E-02  0.4368E+53  0.2929E+47  0.1442E+46  0.1446E+46
 -0.4572E-02  0.5495E+53  0.3039E+47  0.1293E+46  0.1297E+46
 -0.3542E-02  0.6577E+53  0.3099E+47  0.1147E+46  0.1148E+46
 -0.2738E-02  0.7584E+53  0.3144E+47  0.1052E+46  0.1054E+46
 -0.2117E-02  0.8450E+53  0.3164E+47  0.9546E+45  0.9555E+45
 -0.1647E-02  0.9127E+53  0.3159E+47  0.8622E+45  0.8627E+45
 -0.1278E-02  0.9657E+53  0.3156E+47  0.7955E+45  0.7968E+45
 -0.1006E-02  0.1002E+54  0.3146E+47  0.7452E+45  0.7464E+45
 -0.7873E-03  0.1030E+54  0.3130E+47  0.6971E+45  0.6983E+45
 -0.6294E-03  0.1049E+54  0.3115E+47  0.6617E+45  0.6626E+45
 -0.5048E-03  0.1062E+54  0.3110E+47  0.6516E+45  0.6524E+45
 -0.4216E-03  0.1073E+54  0.3111E+47  0.6543E+45  0.6550E+45
 -0.3404E-03  0.1080E+54  0.3114E+47  0.6656E+45  0.6663E+45
 -0.2774E-03  0.1086E+54  0.3119E+47  0.6834E+45  0.6842E+45
 -0.2124E-03  0.1090E+54  0.3125E+47  0.7116E+45  0.7128E+45
 -0.1705E-03  0.1096E+54  0.3138E+47  0.7360E+45  0.7372E+45
 -0.1215E-03  0.1101E+54  0.3153E+47  0.7792E+45  0.7808E+45
 -0.7376E-04  0.1106E+54  0.3173E+47  0.8343E+45  0.8350E+45
 -0.2207E-04  0.1109E+54  0.3197E+47  0.8989E+45  0.9006E+45
  0.6558E-05  0.1110E+54  0.3210E+47  0.9362E+45  0.9370E+45
  0.2935E-04  0.1112E+54  0.3219E+47  0.9652E+45  0.9666E+45
  0.5081E-04  0.1111E+54  0.3227E+47  0.9924E+45  0.9957E+45
  0.7672E-04  0.1110E+54  0.3236E+47  0.1027E+46  0.1030E+46
  0.1018E-03  0.1109E+54  0.3246E+47  0.1062E+46  0.1065E+46
  0.1365E-03  0.1110E+54  0.3259E+47  0.1114E+46  0.1119E+46
  0.1782E-03  0.1108E+54  0.3279E+47  0.1183E+46  0.1188E+46
  0.2210E-03  0.1108E+54  0.3304E+47  0.1258E+46  0.1266E+46
  0.2473E-03  0.1107E+54  0.3317E+47  0.1309E+46  0.1317E+46
  0.2685E-03  0.1106E+54  0.3333E+47  0.1353E+46  0.1359E+46
  0.2911E-03  0.1105E+54  0.3348E+47  0.1402E+46  0.1405E+46
  0.3100E-03  0.1104E+54  0.3361E+47  0.1444E+46  0.1448E+46
  0.3302E-03  0.1103E+54  0.3376E+47  0.1488E+46  0.1496E+46
  0.3506E-03  0.1102E+54  0.3393E+47  0.1534E+46  0.1544E+46
  0.3707E-03  0.1103E+54  0.3410E+47  0.1584E+46  0.1592E+46
  0.3951E-03  0.1102E+54  0.3430E+47  0.1645E+46  0.1655E+46
  0.4203E-03  0.1101E+54  0.3453E+47  0.1711E+46  0.1722E+46
  0.4536E-03  0.1099E+54  0.3482E+47  0.1803E+46  0.1809E+46
  0.4955E-03  0.1097E+54  0.3525E+47  0.1923E+46  0.1933E+46
  0.5622E-03  0.1096E+54  0.3591E+47  0.2125E+46  0.2135E+46
  0.7613E-03  0.1082E+54  0.3831E+47  0.2863E+46  0.2870E+46
  0.9703E-03  0.1059E+54  0.4453E+47  0.1535E+47  0.1489E+47
  0.1202E-02  0.1017E+54  0.2089E+48  0.5532E+48  0.5311E+48
  0.1627E-02  0.8959E+53  0.9210E+49  0.3622E+50  0.3486E+50
  0.2343E-02  0.7499E+53  0.1122E+51  0.8976E+51  0.8614E+51
  0.3459E-02  0.1813E+54  0.2482E+51  0.5592E+52  0.5444E+52
  0.4887E-02  0.3402E+54  0.5514E+51  0.1038E+53  0.1037E+53
  0.5432E-02  0.3452E+54  0.7217E+51  0.1109E+53  0.1118E+53
  0.5959E-02  0.3308E+54  0.9278E+51  0.1156E+53  0.1173E+53
  0.6503E-02  0.3083E+54  0.1186E+52  0.1203E+53  0.1225E+53
  0.7035E-02  0.2855E+54  0.1477E+52  0.1261E+53  0.1290E+53
  0.7597E-02  0.2623E+54  0.1847E+52  0.1338E+53  0.1371E+53
  0.8138E-02  0.2436E+54  0.2258E+52  0.1398E+53  0.1435E+53
  0.8680E-02  0.2261E+54  0.2678E+52  0.1453E+53  0.1498E+53
  0.9217E-02  0.2106E+54  0.3086E+52  0.1506E+53  0.1554E+53
  0.9824E-02  0.1955E+54  0.3609E+52  0.1601E+53  0.1655E+53
  0.1041E-01  0.1831E+54  0.4133E+52  0.1733E+53  0.1797E+53
  0.1100E-01  0.1707E+54  0.4537E+52  0.1828E+53  0.1899E+53
  0.1159E-01  0.1594E+54  0.4853E+52  0.1888E+53  0.1969E+53
  0.1221E-01  0.1491E+54  0.5230E+52  0.1955E+53  0.2045E+53
  0.1284E-01  0.1405E+54  0.5674E+52  0.2039E+53  0.2150E+53
  0.1349E-01  0.1327E+54  0.6218E+52  0.2119E+53  0.2245E+53
  0.1415E-01  0.1258E+54  0.6887E+52  0.2173E+53  0.2317E+53
  0.1484E-01  0.1194E+54  0.7764E+52  0.2246E+53  0.2409E+53
  0.1554E-01  0.1136E+54  0.8615E+52  0.2287E+53  0.2473E+53
  0.1623E-01  0.1090E+54  0.9585E+52  0.2389E+53  0.2603E+53
  0.1695E-01  0.1046E+54  0.1037E+53  0.2469E+53  0.2712E+53
  0.1767E-01  0.9975E+53  0.1080E+53  0.2443E+53  0.2711E+53
  0.1842E-01  0.9533E+53  0.1156E+53  0.2437E+53  0.2741E+53
  0.1918E-01  0.9151E+53  0.1248E+53  0.2492E+53  0.2836E+53
  0.1996E-01  0.8813E+53  0.1345E+53  0.2521E+53  0.2902E+53
  0.2077E-01  0.8463E+53  0.1444E+53  0.2531E+53  0.2955E+53
