1.5
0.000 ( 0)
0.000 ( 0)
4.680 (-48)
0.000 ( 0)

1.6
0.000 ( 0)
0.000 ( 0)
1.147 (-46)
0.000 ( 0)

1.8
0.000 ( 0)
0.000 ( 0)
1.147 (-45)
0.000 ( 0)

2.0
0.000 ( 0)
0.000 ( 0)
3.670 (-45)
0.000 ( 0)

2.2
0.000 ( 0)
0.000 ( 0)
7.973 (-45)
0.000 ( 0)

2.4
4.346 (-47)
4.313 (-47)
1.428 (-44)
0.000 ( 0)

2.6
4.322 (-46)
4.285 (-46)
2.279 (-44)
0.000 ( 0)

2.8
1.478 (-45)
1.464 (-45)
3.369 (-44)
0.000 ( 0)

3.0
3.402 (-45)
3.366 (-45)
4.712 (-44)
0.000 ( 0)

3.2
6.372 (-45)
6.297 (-45)
6.324 (-44)
0.000 ( 0)

3.4
1.052 (-44)
1.038 (-44)
8.216 (-44)
0.000 ( 0)

3.6
1.594 (-44)
1.572 (-44)
1.040 (-43)
0.000 ( 0)

3.8
2.274 (-44)
2.240 (-44)
1.289 (-43)
0.000 ( 0)

4.0
3.098 (-44)
3.048 (-44)
1.569 (-43)
0.000 ( 0)

4.2
4.072 (-44)
4.002 (-44)
1.881 (-43)
1.132 (-45)

4.4
5.202 (-44)
5.107 (-44)
2.225 (-43)
4.621 (-45)

4.6
6.492 (-44)
6.366 (-44)
2.604 (-43)
1.025 (-44)

4.8
7.947 (-44)
7.784 (-44)
3.016 (-43)
1.811 (-44)

5.0
9.570 (-44)
9.364 (-44)
3.463 (-43)
2.836 (-44)

5.2
1.136 (-43)
1.111 (-43)
3.945 (-43)
4.111 (-44)

5.4
1.333 (-43)
1.302 (-43)
4.463 (-43)
5.647 (-44)

5.6
1.548 (-43)
1.509 (-43)
5.017 (-43)
7.453 (-44)

5.8
1.780 (-43)
1.734 (-43)
5.608 (-43)
9.537 (-44)

6.0
2.031 (-43)
1.976 (-43)
6.236 (-43)
1.190 (-43)

6.2
2.300 (-43)
2.235 (-43)
6.902 (-43)
1.456 (-43)

6.4
2.587 (-43)
2.512 (-43)
7.605 (-43)
1.752 (-43)

6.6
2.894 (-43)
2.806 (-43)
8.347 (-43)
2.077 (-43)

6.8
3.219 (-43)
3.117 (-43)
9.127 (-43)
2.433 (-43)

7.0
3.562 (-43)
3.446 (-43)
9.946 (-43)
2.820 (-43)

7.2
3.925 (-43)
3.793 (-43)
1.080 (-42)
3.237 (-43)

7.4
4.308 (-43)
4.158 (-43)
1.170 (-42)
3.686 (-43)

7.6
4.709 (-43)
4.540 (-43)
1.264 (-42)
4.166 (-43)

7.8
5.130 (-43)
4.940 (-43)
1.362 (-42)
4.677 (-43)

8.0
5.571 (-43)
5.358 (-43)
1.464 (-42)
5.220 (-43)

8.2
6.031 (-43)
5.794 (-43)
1.569 (-42)
5.796 (-43)

8.4
6.511 (-43)
6.248 (-43)
