1.875	1.0e-44		1.0e-50
4.58	28.5e-44	1.0e-44
5	33.9e-44	2.77e-44
7.5	116.9e-44	39.3e-44
10	260.9e-44	138.2e-44
20	1638.1e-44	1156.4e-44
25	2828.4e-44	2135.1e-44
30	4470.6e-44	3592.6e-44
40	9845.8e-44	8045.5e-44
50	17984.5e-44	15891.5e-44
