1.15	1.0e-44		0.88e-44	0.17e-44
2.7	2.5e-44		1.0e-44		0.41e-44
5	4.7e-44		1.98e-44	0.77e-44
7.5	7.0e-44		2.95e-44	1.09e-44
10	9.0e-44		3.88e-44	1.45e-44
20	18.5e-44	7.63e-44	2.79e-44
30	27.9e-44	11.7e-44	4.06e-44
40	36.1e-44	16.1e-44	5.87e-44
50	45.9e-44	20.0e-44	7.00e-44
