  0.097849
       3.785   0.0001981       2.894   2.564e-07       19.23   2.354e-13
       4.389    0.000192       3.257   2.811e-07       21.26   3.049e-14
       5.088   0.0001706       3.665       3e-07       23.28   3.822e-15
       5.899   0.0001353       4.125   3.101e-07       25.31   4.662e-16
        6.84   9.137e-05       4.642   3.079e-07       27.33   5.552e-17
        7.93   5.002e-05       5.223   2.912e-07       29.36   6.475e-18
       9.194   2.165e-05       5.878   2.595e-07       31.39   7.417e-19
       10.66   7.297e-06       6.615   2.154e-07       33.41   8.361e-20
       12.36   1.863e-06       7.444   1.643e-07       35.44   9.295e-21
       14.33   3.453e-07       8.377   1.136e-07       37.46   1.021e-21
       16.61   4.405e-08       9.427   7.011e-08       39.49   1.108e-22
       19.26   3.628e-09       10.61   3.803e-08       41.51   1.187e-23
       22.33    1.79e-10       11.94    1.78e-08       43.54   1.267e-24
       25.89   4.849e-12       13.43   7.053e-09       45.56   1.343e-25
       30.02   6.534e-14       15.12   2.314e-09       47.59   1.414e-26
        34.8   3.914e-16       17.01   6.134e-10       49.62   1.481e-27
       40.35   9.189e-19       19.15   1.279e-10       51.64   1.543e-28
       46.78   7.329e-22       21.54   2.035e-11       53.67   1.602e-29
       54.24   1.715e-25       24.25   2.386e-12       55.69   1.658e-30
       62.89   9.828e-30       27.28   1.985e-13       57.72   1.711e-31
       72.91   1.114e-34        30.7   1.121e-14       59.74   1.762e-32
       84.54   1.379e-40       34.55   4.101e-16       61.77   1.811e-33
       98.01           0       38.88   9.183e-18        63.8   1.858e-34
       113.6           0       43.76   1.184e-19       65.82   1.905e-35
       131.8           0       49.24   8.193e-22       67.85   1.951e-36
       152.8           0       55.41   2.812e-24       69.87   1.997e-37
       177.1           0       62.35   4.374e-27        71.9   2.044e-38
       205.3   1.401e-45       70.17   2.782e-30       73.92    2.09e-39
       238.1   1.401e-45       78.97   6.429e-34       75.95   2.139e-40
         276   2.803e-45       88.86   4.685e-38       77.97   2.188e-41
         320           0         100           0          80           0
  0.208770
           1           0           1           0           1           0
       1.159   2.634e-05       1.125   6.095e-08       3.026   1.182e-07
       1.344   3.973e-05       1.266   7.938e-08       5.051   6.198e-08
       1.559    5.86e-05       1.425   1.017e-07       7.077   1.986e-08
       1.807   8.388e-05       1.604   1.282e-07       9.103   5.026e-09
       2.095   0.0001155       1.805   1.588e-07       11.13   1.076e-09
       2.429   0.0001518       2.031   1.934e-07       13.15   2.044e-10
       2.816   0.0001892       2.286   2.312e-07       15.18   3.567e-11
       3.265   0.0002228       2.572   2.712e-07        17.2   5.839e-12
       3.785   0.0002478       2.894   3.111e-07       19.23   9.089e-13
       4.389   0.0002607       3.257    3.48e-07       21.26   1.358e-13
       5.088   0.0002582       3.665    3.78e-07       23.28    1.96e-14
       5.899   0.0002368       4.125    3.96e-07       25.31   2.747e-15
        6.84   0.0001925       4.642   3.973e-07       27.33   3.753e-16
        7.93   0.0001293       5.223   3.784e-07       29.36   5.017e-17
       9.194   6.692e-05       5.878   3.386e-07       31.39   6.578e-18
       10.66   2.613e-05       6.615   2.816e-07       33.41   8.483e-19
       12.36   7.658e-06       7.444   2.149e-07       35.44   1.078e-19
       14.33    1.64e-06       8.377   1.485e-07       37.46   1.352e-20
       16.61   2.445e-07       9.427   9.156e-08       39.49   1.676e-21
       19.26   2.384e-08       10.61   4.958e-08       41.51    2.05e-22
